ASV	Domain	Phylum	Class	Order	Family	Genus
ASV01242	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ASV01243	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus
ASV01244	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ASV01245	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas
ASV01246	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
ASV01247	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV01248	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_genus
ASV01249	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacteraceae_genus
ASV01250	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus
ASV01251	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavitalea
ASV01252	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Aliivibrio
ASV01253	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga
ASV01254	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV01255	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV01256	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
ASV01257	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter
ASV01258	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmataceae_genus
ASV01259	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Cloacibacterium
ASV01260	Bacteria	RCP2-54	RCP2-54_class	RCP2-54_order	RCP2-54_fam	RCP2-54_genus
ASV01261	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Aeromicrobium
ASV01262	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Intrasporangiaceae	Knoellia
ASV01263	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Enteractinococcus
ASV01264	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Tolumonas
ASV01265	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
ASV01266	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Frankiales_fam	Frankiales_genus
ASV01267	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	Clostridia UCG-014	Clostridia UCG-014
ASV01268	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetales_fam	Planctomycetales_genus
ASV01269	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
ASV01270	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellales_fam	Gaiellales_genus
ASV01271	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
ASV01272	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus
ASV01273	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Aliicoccus
ASV01274	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacteraceae_genus
ASV01275	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
ASV01276	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42
ASV01277	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ASV01278	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter
ASV01279	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium
ASV01280	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium
ASV01281	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia
ASV01282	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria_genus
ASV01283	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera
ASV01284	Bacteria	Deinococcota	Deinococci	Thermales	Thermaceae	Meiothermus
ASV01285	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera
ASV01286	Bacteria	Actinobacteriota	Thermoleophilia	Thermoleophilia_order	Thermoleophilia_fam	Thermoleophilia_genus
ASV01287	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus
ASV01288	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV01289	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellales_fam	Gaiellales_genus
ASV01290	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
ASV01291	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41
ASV01292	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter
ASV01293	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter
ASV01294	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
ASV01295	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
ASV01296	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV01297	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales	Rokubacteriales	Rokubacteriales
ASV01298	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
ASV01299	Archaea	Crenarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaeraceae_genus
ASV01300	Bacteria	Chloroflexi	KD4-96	KD4-96_order	KD4-96_fam	KD4-96_genus
ASV01301	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV01302	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
ASV01303	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus
ASV01304	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacterales_fam	Vicinamibacterales_genus
ASV01305	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV01306	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseriaceae_genus
ASV01307	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_genus
ASV01308	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia
ASV01309	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Vulcaniibacterium
ASV01310	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
ASV01311	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis
